
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A8:BD:27:D4:49:21, 2024-01-08 12:03:02, 2024-01-08 12:26:54,  6, 260, WPA2, CCMP, MGT, -89,      967,     1900,   0.  0.  0.  0,   7, YRDSB-S, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
6E:67:B0:F6:45:83, 2024-01-08 12:03:03, 2024-01-08 12:16:48, -85,       11, A8:BD:27:D4:49:21,
7A:1D:73:E8:63:1A, 2024-01-08 12:03:05, 2024-01-08 12:26:43, -66,      110, A8:BD:27:D4:49:21,YRDSB-S
22:D9:2A:87:97:2D, 2024-01-08 12:03:27, 2024-01-08 12:26:51, -69,      191, A8:BD:27:D4:49:21,
9E:ED:7A:78:85:39, 2024-01-08 12:03:40, 2024-01-08 12:13:30, -86,       97, A8:BD:27:D4:49:21,
6E:19:C1:3F:AA:24, 2024-01-08 12:05:21, 2024-01-08 12:05:57, -61,      317, A8:BD:27:D4:49:21,
02:26:78:18:B0:D0, 2024-01-08 12:06:02, 2024-01-08 12:06:02,  -1,        1, A8:BD:27:D4:49:21,
0E:84:9C:F6:79:7E, 2024-01-08 12:06:34, 2024-01-08 12:06:38,  -1,        8, A8:BD:27:D4:49:21,
32:FD:A5:11:70:25, 2024-01-08 12:08:02, 2024-01-08 12:26:08, -58,       13, A8:BD:27:D4:49:21,
92:0D:AF:A3:FE:06, 2024-01-08 12:08:50, 2024-01-08 12:09:13, -75,       15, A8:BD:27:D4:49:21,
22:53:07:03:E4:07, 2024-01-08 12:09:02, 2024-01-08 12:09:06, -78,       15, A8:BD:27:D4:49:21,
02:75:B5:0E:31:CA, 2024-01-08 12:09:13, 2024-01-08 12:18:08, -68,       10, A8:BD:27:D4:49:21,
54:2B:8D:B9:E6:22, 2024-01-08 12:09:39, 2024-01-08 12:23:02, -72,       42, A8:BD:27:D4:49:21,
96:D7:7A:07:B8:89, 2024-01-08 12:10:40, 2024-01-08 12:10:58, -60,       19, A8:BD:27:D4:49:21,
02:C4:03:56:0B:BE, 2024-01-08 12:10:52, 2024-01-08 12:11:29, -76,      265, A8:BD:27:D4:49:21,
6A:9D:6A:E5:F0:4D, 2024-01-08 12:10:56, 2024-01-08 12:11:21, -76,       77, A8:BD:27:D4:49:21,
C6:1F:F1:7D:FE:A8, 2024-01-08 12:11:05, 2024-01-08 12:11:13, -60,        9, A8:BD:27:D4:49:21,
F2:1C:2F:76:BB:BE, 2024-01-08 12:11:11, 2024-01-08 12:11:13, -68,       19, A8:BD:27:D4:49:21,
82:82:BA:F3:88:09, 2024-01-08 12:11:13, 2024-01-08 12:19:44, -65,       55, A8:BD:27:D4:49:21,
26:63:68:04:6C:FF, 2024-01-08 12:11:59, 2024-01-08 12:11:59, -85,        2, A8:BD:27:D4:49:21,
EA:D4:12:90:EE:B0, 2024-01-08 12:12:18, 2024-01-08 12:12:26,  -1,       12, A8:BD:27:D4:49:21,
DA:47:C7:A9:9A:08, 2024-01-08 12:12:23, 2024-01-08 12:25:17, -76,       29, A8:BD:27:D4:49:21,
48:87:59:C6:BA:F0, 2024-01-08 12:12:24, 2024-01-08 12:24:30, -72,       11, A8:BD:27:D4:49:21,
9A:6A:CE:07:4E:88, 2024-01-08 12:13:00, 2024-01-08 12:13:04, -84,       29, A8:BD:27:D4:49:21,
72:EC:0A:3A:1C:58, 2024-01-08 12:13:01, 2024-01-08 12:13:11, -72,       34, A8:BD:27:D4:49:21,
56:7F:DB:3E:33:55, 2024-01-08 12:13:06, 2024-01-08 12:13:12, -73,        2, A8:BD:27:D4:49:21,
CE:D5:BA:2C:6E:40, 2024-01-08 12:13:15, 2024-01-08 12:13:15, -83,        1, A8:BD:27:D4:49:21,
5E:11:08:09:E0:D8, 2024-01-08 12:14:03, 2024-01-08 12:22:45, -68,       10, A8:BD:27:D4:49:21,
EA:1B:56:C0:66:0F, 2024-01-08 12:14:05, 2024-01-08 12:14:49, -89,       35, A8:BD:27:D4:49:21,
A2:70:41:77:17:F9, 2024-01-08 12:14:09, 2024-01-08 12:25:28, -88,      563, A8:BD:27:D4:49:21,
98:46:0A:5A:5C:6C, 2024-01-08 12:14:09, 2024-01-08 12:14:11, -65,       13, A8:BD:27:D4:49:21,
6A:00:5A:85:98:4B, 2024-01-08 12:14:48, 2024-01-08 12:15:09, -84,       20, A8:BD:27:D4:49:21,
66:A2:E5:FE:61:1C, 2024-01-08 12:14:51, 2024-01-08 12:15:00, -87,       32, A8:BD:27:D4:49:21,
